"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N316FR",2017,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N316JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N316NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N316PF",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N316PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N317DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N317FR",2017,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N317JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N317NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N318DX",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N318FR",2017,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N318JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N318NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N319DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N319NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N319PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N319US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N320DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N320NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N320PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N320US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N321DH",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N321US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N322DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N322FR",2017,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N322NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N323DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N323FR",2017,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N323JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N323NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N323SG",2019,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N324DX",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N324FR",2017,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N324JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N324PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N324SH",2020,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N325DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N325NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N325PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N325US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N326DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N326FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N326PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N326SJ",2020,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N326US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N327DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N327SK",2020,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N328DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N328FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N328JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N329DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N329FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N329JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N329NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N329PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N330DX",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N330FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N330PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N331DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N331NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N331PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N33203",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N33264",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N33284",2004,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N33294",2005,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N332DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N332FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N332NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N333DX",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N333NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N333NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-111",2,100,0,"Turbo-fan"
"N334DN",2017,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N334FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N334JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N334NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N335DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N335FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N335NB",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N335PH",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N335PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N336DX",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N336FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N336NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N336RU",2018,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N33714",1998,"Fixed wing multi engine","BOEING","737-724",2,149,0,"Turbo-fan"
"N337DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N337FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N337JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N337NB",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,0,"Turbo-fan"
"N337NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N337PQ",2014,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N338DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N338FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N338NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N338PK",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N339DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N339FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N339JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N339NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N339NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N339SU",2020,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N340DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N340NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N340NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N341DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N341FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N341NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N341NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N342DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N342FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N343DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N343FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N343NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N343NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N343PN",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N343RY",2019,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N344DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N344FR",2018,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N344NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N344NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N344PP",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N345DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N345NB",NA,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N345NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N346DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N346FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N346JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N346NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N346PR",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N347DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N347FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N347NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N347NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N348DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N348FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N348NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N348NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N348PQ",2015,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N349DX",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N349FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N349NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N349NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N349PQ",2015,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N350DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N350FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N350RV",2018,"Fixed wing multi engine","BOEING","737-8",2,185,0,"Turbo-fan"
"N351DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N351FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N351JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N351NW",1997,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N352DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N352FR",2019,"Fixed wing multi engine","AIRBUS SAS","A320-251N",2,181,0,"Turbo-fan"
"N352NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N352PS",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N353DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N353FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N353JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N353NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N353NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N354DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N354FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N354JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N354NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N355DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N355JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N355NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N355NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N356DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N356FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N356NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N357DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N357NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N357PV",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N358DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N358FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N358JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N358NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N358PW",2017,"Fixed wing multi engine","BOEING","737-800",2,189,0,"Turbo-fan"
"N359DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N359FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N359NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N359NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N360DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N360FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N360NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N360NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N361DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N361FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N361NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N36247",1999,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N36272",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N362DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N362FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N362NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N363DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N363FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N363NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N364DX",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N364FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N364NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N365DN",2018,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N365FR",2019,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N365NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N366DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N366FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N366NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N366NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N367DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N367FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N367NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N368DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N368FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N368JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N368NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N368NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N369DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N369FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N369NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N369NW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N370DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N370FR",NA,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N370NB",2003,"Fixed wing multi engine","AIRBUS","A319-114",2,145,0,"Turbo-fan"
"N371DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N371DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N371FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N371NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N37252",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37253",2000,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37267",2001,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37274",2002,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N37290",2004,"Fixed wing multi engine","BOEING","737-824",2,149,0,"Turbo-fan"
"N372DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N372DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N372FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N372NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N3730B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3731T",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3732J",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3733Z",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3734B",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3735D",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3737C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3739P",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N373DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N373DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N373FR",2021,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N373JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N373NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N3740C",2000,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3742C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3743H",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3745B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3747D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3748Y",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3749D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N374DX",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N374FR",2021,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N374JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N374NW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,0,"Turbo-fan"
"N3750D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3751B",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3752",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3753",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3754A",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3755D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3756",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3757D",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N3759",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N375DA",1998,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
"N375DN",2019,"Fixed wing multi engine","AIRBUS","A321-211",2,199,0,"Turbo-fan"
"N375FR",2020,"Fixed wing multi engine","AIRBUS","A320-251N",2,190,0,"Turbo-jet"
"N375JB",2013,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,0,"Turbo-fan"
"N3760C",2001,"Fixed wing multi engine","BOEING","737-832",2,189,0,"Turbo-fan"
