"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N231WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N232FR",2015,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N232JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N232NN",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N232PQ",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,0,"Turbo-fan"
"N232WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N233FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N233JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N233LV",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N234JQ",2008,"Fixed wing multi engine","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR",2,80,0,"Turbo-fan"
"N234JW",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N234WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N235FR",2016,"Fixed wing multi engine","AIRBUS","A320-214",2,182,0,"Turbo-fan"
"N235JQ",2008,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N235NN",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,0,"Turbo-fan"
"N235WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,0,"Turbo-fan"
"N236AK",2016,"Fixed wing multi engine","BOEING","737-990ER",2,222,0,"Turbo-fan"
